Project,Category,Voter Profile
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 59, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9397663158216208, 'Impact Preference': 0.34957471221978037}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 30, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7308116711170852, 'Impact Preference': 0.6795905765776921}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 48, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9958743439088678, 'Impact Preference': 0.49401524866484436}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 62, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8793277127521638, 'Impact Preference': 0.5848097990278383}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 24, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6883032744415941, 'Impact Preference': 0.6796538515028653}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 65, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.38576422259105336, 'Impact Preference': 0.6397237661454885}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 50, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.31360659492512244, 'Impact Preference': 0.35612010839254116}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 20, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.4719103026084195, 'Impact Preference': 0.47923677497672323}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 55, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8413582109536373, 'Impact Preference': 0.4118967055954633}}"
Repair & Fitness Area: Sunken Playground,Parks & Recreation,"{'Age': 62, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9527143543984808, 'Impact Preference': 0.7070284861755196}}"
Real Time Passenger Information,Transit,"{'Age': 43, 'Gender': 'Female', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.3724827991926991, 'Impact Preference': 0.19613249105149635}}"
Real Time Passenger Information,Transit,"{'Age': 25, 'Gender': 'Male', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.6521703112124633, 'Impact Preference': 0.8345865826068932}}"
Real Time Passenger Information,Transit,"{'Age': 50, 'Gender': 'Male', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.20507271506956098, 'Impact Preference': 0.49948009335991017}}"
Real Time Passenger Information,Transit,"{'Age': 54, 'Gender': 'Female', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.3796596442173492, 'Impact Preference': 0.16703159577156557}}"
Real Time Passenger Information,Transit,"{'Age': 55, 'Gender': 'Male', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.511810271238023, 'Impact Preference': 0.2729990143641882}}"
Real Time Passenger Information,Transit,"{'Age': 24, 'Gender': 'Female', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.6157242168357362, 'Impact Preference': 0.7881150760426283}}"
Real Time Passenger Information,Transit,"{'Age': 64, 'Gender': 'Other', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.17741762853048484, 'Impact Preference': 0.3000002863831198}}"
Real Time Passenger Information,Transit,"{'Age': 40, 'Gender': 'Female', 'Preferences': {'Category': 'Transit', 'Cost Sensitivity': 0.7955258131883115, 'Impact Preference': 0.8268577654784184}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 50, 'Gender': 'Other', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.7730632750591881, 'Impact Preference': 0.5602126209824377}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 45, 'Gender': 'Other', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.849394502475297, 'Impact Preference': 0.6578259374108433}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 21, 'Gender': 'Female', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.9814059333602516, 'Impact Preference': 0.5328606335148977}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 38, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.5787082978139142, 'Impact Preference': 0.22790106325189322}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 52, 'Gender': 'Other', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.9890631290750829, 'Impact Preference': 0.7019902153355884}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 64, 'Gender': 'Female', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.6016793805915535, 'Impact Preference': 0.3036610657982194}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 61, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.9990209151992772, 'Impact Preference': 0.4252123785364399}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 37, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.7263460501512597, 'Impact Preference': 0.5642735673287544}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 59, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.3287787700128032, 'Impact Preference': 0.1430711418829206}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 61, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.8937295409396265, 'Impact Preference': 0.591381531569144}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 38, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.20993691570346906, 'Impact Preference': 0.9003577081961153}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 20, 'Gender': 'Female', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.22636137555783203, 'Impact Preference': 0.7626847438783555}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 48, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.35543913097839885, 'Impact Preference': 0.1168427874906807}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 40, 'Gender': 'Female', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.36314185967918877, 'Impact Preference': 0.4286255202849837}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 52, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.3175046046621805, 'Impact Preference': 0.8547716331939094}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 46, 'Gender': 'Male', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.4667713002242242, 'Impact Preference': 0.3804878267564572}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 27, 'Gender': 'Other', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.6145849022343839, 'Impact Preference': 0.10078071658188985}}"
STEMLab for Brooklyn School of Inquiry,Youth,"{'Age': 27, 'Gender': 'Other', 'Preferences': {'Category': 'Youth', 'Cost Sensitivity': 0.2755291133868336, 'Impact Preference': 0.5391507103517511}}"
 New Park for the Community,Parks & Recreation,"{'Age': 27, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9851784477656282, 'Impact Preference': 0.4651516463294564}}"
 New Park for the Community,Parks & Recreation,"{'Age': 23, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.2794594365381461, 'Impact Preference': 0.7828812568093575}}"
 New Park for the Community,Parks & Recreation,"{'Age': 27, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7173944800287021, 'Impact Preference': 0.4196189942797578}}"
 New Park for the Community,Parks & Recreation,"{'Age': 21, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.33680835840154316, 'Impact Preference': 0.5963811066937796}}"
 New Park for the Community,Parks & Recreation,"{'Age': 50, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.35337998332469167, 'Impact Preference': 0.1310406675992675}}"
 New Park for the Community,Parks & Recreation,"{'Age': 37, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.629289707959696, 'Impact Preference': 0.9768883438290029}}"
 New Park for the Community,Parks & Recreation,"{'Age': 50, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9434651092187292, 'Impact Preference': 0.5861913182791928}}"
 New Park for the Community,Parks & Recreation,"{'Age': 33, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.2412045399855363, 'Impact Preference': 0.19674163150039156}}"
 New Park for the Community,Parks & Recreation,"{'Age': 54, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.19758995235436072, 'Impact Preference': 0.8995308100347963}}"
 New Park for the Community,Parks & Recreation,"{'Age': 59, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.4139870020356846, 'Impact Preference': 0.32094082949140357}}"
 New Park for the Community,Parks & Recreation,"{'Age': 20, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.13571943802787706, 'Impact Preference': 0.7498781480561599}}"
 New Park for the Community,Parks & Recreation,"{'Age': 38, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8217738557666826, 'Impact Preference': 0.5469147658765794}}"
 New Park for the Community,Parks & Recreation,"{'Age': 29, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9802554031229588, 'Impact Preference': 0.7244379497051953}}"
 New Park for the Community,Parks & Recreation,"{'Age': 18, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7243745116284909, 'Impact Preference': 0.5323163548899805}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 45, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7564474712774416, 'Impact Preference': 0.5927196713640149}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 60, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9614665990684155, 'Impact Preference': 0.8378264996915817}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 43, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.7708356860078375, 'Impact Preference': 0.3003952074964944}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 31, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.49716736781948967, 'Impact Preference': 0.3139733595157159}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 48, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.5768608899070156, 'Impact Preference': 0.9054311144755104}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 52, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8702844103969088, 'Impact Preference': 0.9419563601385705}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 40, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9934246160232458, 'Impact Preference': 0.4516564256674913}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 22, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.40109783783745245, 'Impact Preference': 0.11474957825314747}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 61, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.668430726626209, 'Impact Preference': 0.5747784745513861}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 34, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.24982093353185592, 'Impact Preference': 0.3940378294311796}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 27, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8459107949274746, 'Impact Preference': 0.7582662656826968}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 56, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8033083522439937, 'Impact Preference': 0.8100110671544323}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 34, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.9563049108908317, 'Impact Preference': 0.8316912548730747}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 35, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.4282095426048267, 'Impact Preference': 0.12238486532163612}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 61, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.22677033669463895, 'Impact Preference': 0.7652653719560577}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 56, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.10237765107437191, 'Impact Preference': 0.8346555437204914}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 41, 'Gender': 'Other', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8392846032353884, 'Impact Preference': 0.8278074137913448}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 18, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.8412215294295985, 'Impact Preference': 0.7306710827656263}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 60, 'Gender': 'Female', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.71585769564762, 'Impact Preference': 0.20756729421626222}}"
 Revitalization of Chelsea Waterside Park,Parks & Recreation,"{'Age': 57, 'Gender': 'Male', 'Preferences': {'Category': 'Parks & Recreation', 'Cost Sensitivity': 0.6974800994785572, 'Impact Preference': 0.5662333489425051}}"
 Renovations for Jefferson Library Market,Culture and Community Facilities,"{'Age': 55, 'Gender': 'Female', 'Preferences': {'Category': 'Culture and Community Facilities', 'Cost Sensitivity': 0.7188919156587341, 'Impact Preference': 0.9623641575783521}}"
 Renovations for Jefferson Library Market,Culture and Community Facilities,"{'Age': 51, 'Gender': 'Other', 'Preferences': {'Category': 'Culture and Community Facilities', 'Cost Sensitivity': 0.7444538473537842, 'Impact Preference': 0.3650289692458559}}"
 Renovations for Jefferson Library Market,Culture and Community Facilities,"{'Age': 32, 'Gender': 'Other', 'Preferences': {'Category': 'Culture and Community Facilities', 'Cost Sensitivity': 0.6418846978426425, 'Impact Preference': 0.2554710486298635}}"
 Renovations for Jefferson Library Market,Culture and Community Facilities,"{'Age': 23, 'Gender': 'Female', 'Preferences': {'Category': 'Culture and Community Facilities', 'Cost Sensitivity': 0.49367446085174027, 'Impact Preference': 0.49763400527198476}}"
 Renovations for Jefferson Library Market,Culture and Community Facilities,"{'Age': 19, 'Gender': 'Male', 'Preferences': {'Category': 'Culture and Community Facilities', 'Cost Sensitivity': 0.508772291082733, 'Impact Preference': 0.9254507153153306}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 64, 'Gender': 'Male', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.890857472268904, 'Impact Preference': 0.6542027979000459}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 23, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.38718696609689807, 'Impact Preference': 0.8310490797566575}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 62, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.1777854738773994, 'Impact Preference': 0.9361023939892236}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 19, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.6635809840765248, 'Impact Preference': 0.4435695163512978}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 28, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.8720284785772835, 'Impact Preference': 0.5110752949135633}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 55, 'Gender': 'Male', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.14514003497685257, 'Impact Preference': 0.6878078486496146}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 51, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.26942457489368876, 'Impact Preference': 0.7629957368668929}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 46, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.1881510787001067, 'Impact Preference': 0.8638069467041793}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 62, 'Gender': 'Male', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.539160024374892, 'Impact Preference': 0.7457926742734767}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 25, 'Gender': 'Other', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.36915208310698255, 'Impact Preference': 0.5267094021416348}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 19, 'Gender': 'Other', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.5254247727705122, 'Impact Preference': 0.5400134505469406}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 42, 'Gender': 'Other', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.3715132582324546, 'Impact Preference': 0.6497428814639284}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 52, 'Gender': 'Other', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.895434965826281, 'Impact Preference': 0.2338324646936937}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 22, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.24480466501282871, 'Impact Preference': 0.935687891819877}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 25, 'Gender': 'Male', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.7895286382017485, 'Impact Preference': 0.3404476928206509}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 25, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.7350413517795672, 'Impact Preference': 0.536163155205185}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 22, 'Gender': 'Other', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.790192218503071, 'Impact Preference': 0.4778899224297072}}"
 Bathroom Renovations at Lab School,Schools,"{'Age': 63, 'Gender': 'Female', 'Preferences': {'Category': 'Schools', 'Cost Sensitivity': 0.9616407989619953, 'Impact Preference': 0.48750519816543547}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 30, 'Gender': 'Female', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.9260929563306927, 'Impact Preference': 0.9807958820578347}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 30, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.6870347138365468, 'Impact Preference': 0.40089919357505144}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 41, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.9921358730659058, 'Impact Preference': 0.8010213438286338}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 63, 'Gender': 'Female', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.579893018761536, 'Impact Preference': 0.32288743995437297}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 37, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.8120784857530513, 'Impact Preference': 0.22768786277495856}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 54, 'Gender': 'Male', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.7320204316596978, 'Impact Preference': 0.2607722056944818}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 34, 'Gender': 'Male', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.8055353262102183, 'Impact Preference': 0.15116062344822578}}"
 Sidewalk Repair/Replacement,Streets and Transportation,"{'Age': 52, 'Gender': 'Other', 'Preferences': {'Category': 'Streets and Transportation', 'Cost Sensitivity': 0.7267707726666017, 'Impact Preference': 0.3016620532306693}}"
